team,1930,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018,2022,code,country,confederation,url
Poland,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,14.0,21.0,32.0,40.0,40.0,40.0,40.0,49.0,51.0,51.0,51.0,52.0,57.0,POL,Poland,UEFA,https://countryflagsapi.com/png/poland
Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,12.0,12.0,12.0,12.0,20.0,28.0,36.0,44.0,51.0,65.0,POR,Portugal,UEFA,https://countryflagsapi.com/png/portugal
Qatar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,QAT,Qatar,AFC,https://countryflagsapi.com/png/qatar
Republic of Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,
Romania,5.0,7.0,12.0,12.0,12.0,12.0,12.0,12.0,17.0,17.0,17.0,17.0,17.0,20.0,27.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,ROM,Romania,UEFA,https://countryflagsapi.com/png/romania
Russia,0.0,0.0,0.0,0.0,0.0,6.0,16.0,22.0,23.0,23.0,23.0,30.0,42.0,44.0,55.0,55.0,61.0,61.0,61.0,64.0,75.0,75.0,,,,
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,20.0,22.0,22.0,22.0,30.0,34.0,KSA,Saudi Arabia,AFC,https://countryflagsapi.com/png/saudi%20arabia
Scotland,0.0,0.0,0.0,0.0,1.0,7.0,7.0,7.0,7.0,8.0,14.0,25.0,27.0,30.0,30.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,SCO,Scotland,UEFA,https://countryflagsapi.com/png/scotland
Senegal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,8.0,13.0,SEN,Senegal,CAF,https://countryflagsapi.com/png/senegal
Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,14.0,16.0,16.0,17.0,24.0,SRB,Serbia,UEFA,https://countryflagsapi.com/png/serbia
Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,SVK,Slovakia,UEFA,https://countryflagsapi.com/png/slovakia
Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,7.0,7.0,7.0,SLO,Slovenia,UEFA,https://countryflagsapi.com/png/slovenia
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,11.0,14.0,14.0,14.0,14.0,RSA,South Africa,CAF,https://countryflagsapi.com/png/south%20africa
South Korea,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,15.0,18.0,23.0,30.0,38.0,43.0,53.0,56.0,60.0,68.0,,,,
Spain,0.0,3.0,3.0,15.0,15.0,15.0,18.0,24.0,24.0,24.0,27.0,31.0,34.0,37.0,46.0,54.0,63.0,71.0,75.0,76.0,82.0,92.0,ESP,Spain,UEFA,https://countryflagsapi.com/png/spain
Sweden,0.0,4.0,13.0,27.0,27.0,39.0,39.0,39.0,42.0,51.0,54.0,54.0,54.0,58.0,71.0,71.0,76.0,81.0,81.0,81.0,85.0,85.0,SWE,Sweden,UEFA,https://countryflagsapi.com/png/sweden
Switzerland,0.0,5.0,10.0,13.0,24.0,24.0,32.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,46.0,46.0,46.0,48.0,49.0,54.0,59.0,69.0,SUI,Switzerland,UEFA,https://countryflagsapi.com/png/switzerland
Togo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,TOG,Togo,CAF,https://countryflagsapi.com/png/togo
Trinidad and Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,TRI,Trinidad and Tobago,CONCACF,https://countryflagsapi.com/png/trinidad%20and%20tobago
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,11.0,17.0,17.0,17.0,24.0,25.0,TUN,Tunisia,CAF,https://countryflagsapi.com/png/tunisia
Turkey,0.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,20.0,20.0,20.0,20.0,20.0,20.0,TUR,Turkey,UEFA,https://countryflagsapi.com/png/turkey
Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,UKR,Ukraine,UEFA,https://countryflagsapi.com/png/ukraine
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,UAE,United Arab Emirates,AFC,https://countryflagsapi.com/png/united%20arab%20emirates
United States,6.0,13.0,13.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,25.0,28.0,31.0,39.0,42.0,47.0,52.0,52.0,56.0,,,,
Uruguay,15.0,15.0,15.0,20.0,29.0,29.0,33.0,38.0,43.0,47.0,47.0,47.0,55.0,60.0,60.0,60.0,64.0,64.0,71.0,76.0,79.0,81.0,URU,Uruguay,CONMEBOL,https://countryflagsapi.com/png/uruguay
Wales,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,WAL,Wales,UEFA,https://countryflagsapi.com/png/wales
Yugoslavia,7.0,7.0,7.0,10.0,13.0,20.0,27.0,27.0,27.0,43.0,43.0,45.0,45.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,,,,
